status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
less than 0;9;all credits at this bank paid back duly;car (used);1919;unknown/no savings account;from 4 to 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;35;none;for free;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;24;no credits taken/all credits paid back duly;car (new);2603;from 500 to 1000;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;28;none;for free;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;9;all credits at this bank paid back duly;repairs;936;from 100 to 500;greater than 7 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;52;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;24;no credits taken/all credits paid back duly;car (used);3062;from 100 to 500;greater than 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;real estate;32;none;for free;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;36;no credits taken/all credits paid back duly;furniture/equipment;4795;unknown/no savings account;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;real estate;30;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;36;all credits at this bank paid back duly;car (new);5842;unknown/no savings account;greater than 7 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;car or other;35;none;rent;2.Mar;skilled employee/official;3 or more;yes (under customer name);no;1
less than 0;6;no credits taken/all credits paid back duly;furniture/equipment;2063;unknown/no savings account;less than 1 yr;less than 20;female : single;none;from 4 to 7 yrs;building soc. savings agr./life insurance;30;none;for free;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;15;all credits at this bank paid back duly;furniture/equipment;1459;unknown/no savings account;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;43;none;rent;1;unskilled - resident;0 to 2;no;no;1
.greater than 200;15;no credits taken/all credits paid back duly;furniture/equipment;1213;from 100 to 500;greater than 7 yrs;less than 20;male : married/widowed;none;from 4 to 7 yrs;car or other;47;stores;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;24;all credits at this bank paid back duly;furniture/equipment;5103;unknown/no savings account;less than 1 yr;from 25 to 20;female : single;none;from 4 to 7 yrs;real estate;47;none;own;4.May;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;15;no credits taken/all credits paid back duly;radio/television;874;greater than 1000;less than 1 yr;less than 20;female : non-single or male : single;none;less than 1 yr;unknown / no property;24;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;6;no credits taken/all credits paid back duly;car (used);2978;from 100 to 500;from 1 to 4 yrs;greater than 35;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;32;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;18;no credits taken/all credits paid back duly;others;1820;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : single;none;from 1 to 4 yrs;car or other;30;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
.greater than 200;24;all credits at this bank paid back duly;furniture/equipment;2872;less than 100;greater than 7 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;36;none;rent;1;skilled employee/official;3 or more;yes (under customer name);no;1
from 0 to 200;24;no credits taken/all credits paid back duly;car (used);1925;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;26;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;18;no credits taken/all credits paid back duly;car (used);2515;unknown/no savings account;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;43;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
from 0 to 200;6;no credits taken/all credits paid back duly;car (used);2116;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;41;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;18;no credits taken/all credits paid back duly;furniture/equipment;1453;unknown/no savings account;less than 1 yr;from 25 to 20;female : non-single or male : single;none;less than 1 yr;unknown / no property;26;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;10;no credits taken/all credits paid back duly;others;1364;unknown/no savings account;from 1 to 4 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;64;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;6;no credits taken/all credits paid back duly;car (used);1543;from 500 to 1000;from 1 to 4 yrs;less than 20;male : divorced/separated;none;from 1 to 4 yrs;unknown / no property;33;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;12;no credits taken/all credits paid back duly;others;1318;from 500 to 1000;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;54;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
no checking account;24;critical account/other credits elsewhere;others;2325;less than 100;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;32;bank;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;6;all credits at this bank paid back duly;vacation;932;greater than 1000;from 4 to 7 yrs;greater than 35;female : non-single or male : single;none;from 4 to 7 yrs;car or other;39;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;1
from 0 to 200;24;all credits at this bank paid back duly;furniture/equipment;3148;greater than 1000;from 1 to 4 yrs;from 25 to 20;male : married/widowed;none;from 1 to 4 yrs;building soc. savings agr./life insurance;31;none;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;36;no credits taken/all credits paid back duly;furniture/equipment;3835;greater than 1000;greater than 7 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;unknown / no property;45;none;rent;1;unskilled - resident;0 to 2;yes (under customer name);no;1
.greater than 200;9;no credits taken/all credits paid back duly;repairs;3832;greater than 1000;greater than 7 yrs;greater than 35;male : married/widowed;none;greater than 7 yrs;unknown / no property;64;none;rent;1;unskilled - resident;0 to 2;no;no;1
less than 0;24;no credits taken/all credits paid back duly;furniture/equipment;5084;greater than 1000;greater than 7 yrs;from 35 to 25;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;42;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;9;all credits at this bank paid back duly;car (used);2406;unknown/no savings account;unemployed;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;31;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;no;no;1
.greater than 200;36;no credits taken/all credits paid back duly;furniture/equipment;2394;greater than 1000;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;greater than 7 yrs;building soc. savings agr./life insurance;25;none;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;21;no credits taken/all credits paid back duly;car (new);2476;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;unknown / no property;46;none;rent;1;manager/self-empl./highly qualif. employee;0 to 2;yes (under customer name);no;1
no checking account;24;no credits taken/all credits paid back duly;car (new);2964;greater than 1000;greater than 7 yrs;less than 20;male : married/widowed;none;greater than 7 yrs;real estate;49;bank;own;1;skilled employee/official;3 or more;yes (under customer name);no;1
no checking account;12;no credits taken/all credits paid back duly;car (used);1262;greater than 1000;greater than 7 yrs;from 35 to 25;male : divorced/separated;none;greater than 7 yrs;car or other;49;none;rent;1;unskilled - resident;0 to 2;yes (under customer name);no;1
.greater than 200;12;no credits taken/all credits paid back duly;retraining;1542;unknown/no savings account;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;36;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;24;all credits at this bank paid back duly;furniture/equipment;1743;unknown/no savings account;greater than 7 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;car or other;48;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;1
from 0 to 200;12;critical account/other credits elsewhere;furniture/equipment;409;from 500 to 1000;from 1 to 4 yrs;from 25 to 20;female : non-single or male : single;none;from 4 to 7 yrs;unknown / no property;42;none;for free;2.Mar;skilled employee/official;0 to 2;no;no;1
.greater than 200;12;no credits taken/all credits paid back duly;furniture/equipment;2171;unknown/no savings account;less than 1 yr;from 35 to 25;female : non-single or male : single;none;from 1 to 4 yrs;building soc. savings agr./life insurance;29;bank;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;48;all credits at this bank paid back duly;car (new);8858;greater than 1000;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;less than 1 yr;real estate;35;none;own;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;24;no credits taken/all credits paid back duly;others;3512;less than 100;from 4 to 7 yrs;from 35 to 25;male : married/widowed;none;from 4 to 7 yrs;building soc. savings agr./life insurance;38;bank;rent;2.Mar;skilled employee/official;0 to 2;yes (under customer name);no;1
less than 0;12;no credits taken/all credits paid back duly;furniture/equipment;1158;from 100 to 500;from 1 to 4 yrs;from 25 to 20;male : divorced/separated;none;less than 1 yr;building soc. savings agr./life insurance;26;none;rent;1;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;24;all credits at this bank paid back duly;furniture/equipment;2684;unknown/no savings account;from 1 to 4 yrs;less than 20;male : married/widowed;none;from 1 to 4 yrs;unknown / no property;35;none;rent;2.Mar;unskilled - resident;0 to 2;no;no;1
no checking account;12;no credits taken/all credits paid back duly;furniture/equipment;1498;unknown/no savings account;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;less than 1 yr;building soc. savings agr./life insurance;23;bank;rent;1;skilled employee/official;0 to 2;no;no;1
.greater than 200;30;all credits at this bank paid back duly;furniture/equipment;5954;unknown/no savings account;from 4 to 7 yrs;from 25 to 20;male : married/widowed;co-applicant;from 1 to 4 yrs;building soc. savings agr./life insurance;38;none;rent;1;skilled employee/official;0 to 2;no;no;1
less than 0;48;critical account/other credits elsewhere;retraining;6416;unknown/no savings account;greater than 7 yrs;less than 20;female : non-single or male : single;none;from 4 to 7 yrs;real estate;59;none;for free;1;skilled employee/official;0 to 2;no;no;0
less than 0;12;all credits at this bank paid back duly;car (used);3617;unknown/no savings account;greater than 7 yrs;greater than 35;male : married/widowed;none;greater than 7 yrs;building soc. savings agr./life insurance;28;none;for free;4.May;skilled employee/official;0 to 2;yes (under customer name);no;1
.greater than 200;12;all credits at this bank paid back duly;furniture/equipment;1291;unknown/no savings account;from 1 to 4 yrs;less than 20;female : non-single or male : single;none;from 1 to 4 yrs;car or other;35;none;rent;2.Mar;skilled employee/official;0 to 2;no;no;1
